ticket,symbol,tf,side,openTime,closeTime,open,close,sl,tp,lots,profit,spread,reason,exit
10000,EURUSD,H1,SELL,2025-01-16T18:00,2025-01-20T17:00,1.0883,1.09269,1.09269,1.08128,0.1,-75.0,0.00014,TREND confluence SELL,SL
10001,EURUSD,H1,BUY,2025-01-20T17:00,2025-01-22T23:00,1.09178,1.08809,1.08809,1.09769,0.1,-75.0,0.00011,TREND confluence BUY,SL
10002,EURUSD,H1,SELL,2025-01-23T21:00,2025-01-24T05:00,1.07486,1.06634,1.08019,1.06634,0.1,119.89,0.00012,TREND confluence SELL,TP
10003,EURUSD,H1,SELL,2025-01-24T05:00,2025-01-24T22:00,1.06932,1.06058,1.07478,1.06058,0.1,120.05,0.00015,TREND confluence SELL,TP
10004,EURUSD,H1,SELL,2025-01-27T11:00,2025-01-29T18:00,1.05892,1.05238,1.063,1.05238,0.1,120.22,0.00013,TREND confluence SELL,TP
10005,EURUSD,H1,SELL,2025-01-30T01:00,2025-01-30T20:00,1.05271,1.04754,1.05594,1.04754,0.1,120.05,0.00014,TREND confluence SELL,TP
10006,EURUSD,H1,SELL,2025-01-31T13:00,2025-02-03T13:00,1.04132,1.04486,1.04486,1.03565,0.1,-75.0,0.00015,TREND confluence SELL,SL
10007,EURUSD,H1,BUY,2025-02-04T17:00,2025-02-04T20:00,1.05571,1.05078,1.05078,1.06359,0.1,-75.0,0.00011,TREND confluence BUY,SL
10008,EURUSD,H1,BUY,2025-02-04T22:00,2025-02-05T22:00,1.05534,1.0642,1.0498,1.0642,0.1,119.95,0.00011,TREND confluence BUY,TP
10009,EURUSD,H1,BUY,2025-02-06T02:00,2025-02-07T10:00,1.06475,1.06091,1.06091,1.07089,0.1,-75.0,0.0001,TREND confluence BUY,SL
10010,EURUSD,H1,SELL,2025-02-07T18:00,2025-02-10T08:00,1.05926,1.05437,1.06231,1.05437,0.1,120.25,0.00015,TREND confluence SELL,TP
10011,EURUSD,H1,SELL,2025-02-10T12:00,2025-02-10T16:00,1.05429,1.0499,1.05703,1.0499,0.1,120.16,0.00012,TREND confluence SELL,TP
10012,EURUSD,H1,SELL,2025-02-10T20:00,2025-02-11T19:00,1.05034,1.05328,1.05328,1.04563,0.1,-75.0,0.00012,TREND confluence SELL,SL
10013,EURUSD,H1,SELL,2025-02-11T19:00,2025-02-12T07:00,1.05282,1.05673,1.05673,1.04656,0.1,-75.0,0.00014,TREND confluence SELL,SL
10014,EURUSD,H1,BUY,2025-02-12T12:00,2025-02-13T18:00,1.05655,1.05209,1.05209,1.06368,0.1,-75.0,0.00015,TREND confluence BUY,SL
10015,EURUSD,H1,BUY,2025-02-13T22:00,2025-02-14T02:00,1.05581,1.05161,1.05161,1.06253,0.1,-75.0,0.00011,TREND confluence BUY,SL
10016,EURUSD,H1,SELL,2025-02-14T03:00,2025-02-14T18:00,1.05146,1.04348,1.05645,1.04348,0.1,119.94,0.00016,TREND confluence SELL,TP
10000,GBPUSD,H1,BUY,2025-01-16T18:00,2025-01-16T21:00,1.31029,1.30563,1.30563,1.31774,0.1,-75.0,0.00017,TREND confluence BUY,SL
10001,GBPUSD,H1,BUY,2025-01-16T21:00,2025-01-17T21:00,1.3075,1.30247,1.30247,1.31555,0.1,-75.0,0.00016,TREND confluence BUY,SL
10002,GBPUSD,H1,SELL,2025-01-20T22:00,2025-01-21T03:00,1.28669,1.29151,1.29151,1.27898,0.1,-75.0,0.00017,TREND confluence SELL,SL
10003,GBPUSD,H1,SELL,2025-01-21T03:00,2025-01-22T03:00,1.28829,1.2803,1.29328,1.2803,0.1,120.09,0.00016,TREND confluence SELL,TP
10004,GBPUSD,H1,SELL,2025-01-22T04:00,2025-01-22T07:00,1.28214,1.28704,1.28704,1.2743,0.1,-75.0,0.00015,TREND confluence SELL,SL
10005,GBPUSD,H1,SELL,2025-01-22T07:00,2025-01-22T13:00,1.28743,1.27913,1.29262,1.27913,0.1,119.94,0.00019,TREND confluence SELL,TP
10006,GBPUSD,H1,SELL,2025-01-22T13:00,2025-01-22T20:00,1.27973,1.28521,1.28521,1.27096,0.1,-75.0,0.00015,TREND confluence SELL,SL
10007,GBPUSD,H1,SELL,2025-01-22T21:00,2025-01-23T22:00,1.28516,1.27443,1.29187,1.27443,0.1,119.93,0.00022,TREND confluence SELL,TP
10008,GBPUSD,H1,SELL,2025-01-23T22:00,2025-01-24T04:00,1.27299,1.28083,1.28083,1.26044,0.1,-75.0,0.00018,TREND confluence SELL,SL
10009,GBPUSD,H1,SELL,2025-01-24T04:00,2025-01-24T17:00,1.28257,1.27073,1.28997,1.27073,0.1,120.0,0.00016,TREND confluence SELL,TP
10010,GBPUSD,H1,SELL,2025-01-24T17:00,2025-01-24T21:00,1.27126,1.2779,1.2779,1.26063,0.1,-75.0,0.00015,TREND confluence SELL,SL
10011,GBPUSD,H1,SELL,2025-01-24T21:00,2025-01-27T20:00,1.27805,1.28479,1.28479,1.26727,0.1,-75.0,0.00014,TREND confluence SELL,SL
10012,GBPUSD,H1,BUY,2025-01-27T20:00,2025-01-28T19:00,1.28543,1.29259,1.28095,1.29259,0.1,119.87,0.00014,TREND confluence BUY,TP
10013,GBPUSD,H1,BUY,2025-01-28T19:00,2025-01-29T02:00,1.29267,1.28747,1.28747,1.30099,0.1,-75.0,0.00014,TREND confluence BUY,SL
10014,GBPUSD,H1,BUY,2025-01-29T02:00,2025-01-29T17:00,1.28757,1.28222,1.28222,1.29613,0.1,-75.0,0.00016,TREND confluence BUY,SL
10015,GBPUSD,H1,SELL,2025-01-29T19:00,2025-01-30T09:00,1.282,1.27377,1.28714,1.27377,0.1,120.09,0.00015,TREND confluence SELL,TP
10016,GBPUSD,H1,SELL,2025-01-30T11:00,2025-01-30T19:00,1.27458,1.26646,1.27966,1.26646,0.1,119.88,0.00014,TREND confluence SELL,TP
10017,GBPUSD,H1,SELL,2025-01-30T20:00,2025-01-31T03:00,1.26948,1.27548,1.27548,1.25987,0.1,-75.0,0.00019,TREND confluence SELL,SL
10018,GBPUSD,H1,SELL,2025-01-31T03:00,2025-01-31T07:00,1.27596,1.28163,1.28163,1.26688,0.1,-75.0,0.00016,TREND confluence SELL,SL
10019,GBPUSD,H1,SELL,2025-01-31T10:00,2025-02-03T00:00,1.27812,1.28369,1.28369,1.26921,0.1,-75.0,0.00019,TREND confluence SELL,SL
10020,GBPUSD,H1,BUY,2025-02-03T00:00,2025-02-03T05:00,1.28311,1.27797,1.27797,1.29134,0.1,-75.0,0.00015,TREND confluence BUY,SL
10021,GBPUSD,H1,BUY,2025-02-03T06:00,2025-02-03T12:00,1.2811,1.28946,1.27587,1.28946,0.1,119.89,0.00019,TREND confluence BUY,TP
10022,GBPUSD,H1,BUY,2025-02-03T12:00,2025-02-03T17:00,1.28585,1.29591,1.27956,1.29591,0.1,119.95,0.00018,TREND confluence BUY,TP
10023,GBPUSD,H1,BUY,2025-02-04T00:00,2025-02-04T03:00,1.2981,1.30977,1.2908,1.30977,0.1,119.9,0.00015,TREND confluence BUY,TP
10024,GBPUSD,H1,BUY,2025-02-04T14:00,2025-02-05T14:00,1.31416,1.32695,1.30617,1.32695,0.1,120.06,0.00023,TREND confluence BUY,TP
10025,GBPUSD,H1,BUY,2025-02-06T17:00,2025-02-07T06:00,1.33648,1.33173,1.33173,1.34408,0.1,-75.0,0.00017,TREND confluence BUY,SL
10026,GBPUSD,H1,BUY,2025-02-07T06:00,2025-02-07T14:00,1.33188,1.32775,1.32775,1.33848,0.1,-75.0,0.00017,TREND confluence BUY,SL
10027,GBPUSD,H1,BUY,2025-02-07T17:00,2025-02-11T09:00,1.32981,1.32511,1.32511,1.33733,0.1,-75.0,0.00015,TREND confluence BUY,SL
10028,GBPUSD,H1,SELL,2025-02-11T19:00,2025-02-12T12:00,1.31742,1.30831,1.32312,1.30831,0.1,119.87,0.00018,TREND confluence SELL,TP
10029,GBPUSD,H1,SELL,2025-02-12T12:00,2025-02-13T02:00,1.30915,1.31744,1.31744,1.29589,0.1,-75.0,0.0002,TREND confluence SELL,SL
10030,GBPUSD,H1,SELL,2025-02-13T02:00,2025-02-13T11:00,1.31684,1.32357,1.32357,1.30607,0.1,-75.0,0.00015,TREND confluence SELL,SL
10031,GBPUSD,H1,SELL,2025-02-13T16:00,2025-02-14T15:00,1.31728,1.3073,1.32351,1.3073,0.1,120.14,0.00014,TREND confluence SELL,TP
10000,USDJPY,H1,BUY,2025-01-17T04:00,2025-01-17T16:00,154.288,155.103,153.779,155.103,0.1,120.09,0.014,TREND confluence BUY,TP
10001,USDJPY,H1,BUY,2025-01-17T16:00,2025-01-21T13:00,155.045,155.742,154.609,155.742,0.1,119.89,0.015,TREND confluence BUY,TP
10002,USDJPY,H1,BUY,2025-01-21T13:00,2025-01-21T23:00,155.762,156.549,155.27,156.549,0.1,119.97,0.017,TREND confluence BUY,TP
10003,USDJPY,H1,BUY,2025-01-21T23:00,2025-01-22T06:00,156.281,155.774,155.774,157.093,0.1,-75.0,0.014,TREND confluence BUY,SL
10004,USDJPY,H1,BUY,2025-01-22T06:00,2025-01-23T04:00,156.033,155.543,155.543,156.818,0.1,-75.0,0.013,TREND confluence BUY,SL
10005,USDJPY,H1,BUY,2025-01-23T05:00,2025-01-23T06:00,155.791,155.247,155.247,156.661,0.1,-75.0,0.018,TREND confluence BUY,SL
10006,USDJPY,H1,BUY,2025-01-23T07:00,2025-01-23T12:00,155.612,155.025,155.025,156.551,0.1,-75.0,0.015,TREND confluence BUY,SL
10007,USDJPY,H1,SELL,2025-01-23T20:00,2025-01-28T02:00,154.838,155.588,155.588,153.637,0.1,-75.0,0.015,TREND confluence SELL,SL
10008,USDJPY,H1,BUY,2025-01-28T05:00,2025-01-29T00:00,155.689,156.322,155.293,156.322,0.1,119.88,0.02,TREND confluence BUY,TP
10009,USDJPY,H1,BUY,2025-01-29T03:00,2025-01-30T07:00,156.066,155.606,155.606,156.802,0.1,-75.0,0.013,TREND confluence BUY,SL
10010,USDJPY,H1,BUY,2025-01-30T10:00,2025-01-30T23:00,155.786,155.335,155.335,156.508,0.1,-75.0,0.014,TREND confluence BUY,SL
10011,USDJPY,H1,SELL,2025-01-30T23:00,2025-01-31T07:00,155.431,155.881,155.881,154.711,0.1,-75.0,0.014,TREND confluence SELL,SL
10012,USDJPY,H1,BUY,2025-01-31T11:00,2025-02-03T07:00,155.968,155.488,155.488,156.737,0.1,-75.0,0.017,TREND confluence BUY,SL
