ticket,symbol,tf,side,openTime,closeTime,open,close,sl,tp,lots,profit,spread,reason,exit
10000,AAPL,H1,SELL,2025-01-16T18:00,2025-01-16T22:00,188.42,190.32,190.32,185.39,0.1,-75.0,0.02,TREND confluence SELL,SL
10001,AAPL,H1,BUY,2025-01-16T22:00,2025-01-17T16:00,190.34,193.35,188.46,193.35,0.1,120.08,0.03,TREND confluence BUY,TP
10002,AAPL,H1,BUY,2025-01-17T17:00,2025-01-17T21:00,192.28,190.52,190.52,195.1,0.1,-75.0,0.03,TREND confluence BUY,SL
10003,AAPL,H1,BUY,2025-01-17T21:00,2025-01-20T01:00,190.76,188.97,188.97,193.62,0.1,-75.0,0.03,TREND confluence BUY,SL
10004,AAPL,H1,SELL,2025-01-20T12:00,2025-01-21T03:00,188.84,186.23,190.47,186.23,0.1,120.09,0.03,TREND confluence SELL,TP
10005,AAPL,H1,SELL,2025-01-21T23:00,2025-01-23T01:00,183.29,180.86,184.81,180.86,0.1,119.9,0.02,TREND confluence SELL,TP
10006,AAPL,H1,SELL,2025-01-23T01:00,2025-01-23T05:00,180.42,182.49,182.49,177.1,0.1,-75.0,0.03,TREND confluence SELL,SL
10007,AAPL,H1,SELL,2025-01-23T05:00,2025-01-30T06:00,182.2,178.51,184.51,178.51,0.1,119.8,0.03,TREND confluence SELL,TP
10008,AAPL,H1,SELL,2025-01-30T08:00,2025-01-30T13:00,179.0,180.76,180.76,176.18,0.1,-75.0,0.03,TREND confluence SELL,SL
10009,AAPL,H1,SELL,2025-01-30T13:00,2025-02-03T00:00,180.94,178.08,182.73,178.08,0.1,119.83,0.03,TREND confluence SELL,TP
10010,AAPL,H1,SELL,2025-02-03T00:00,2025-02-03T04:00,178.17,179.87,179.87,175.46,0.1,-75.0,0.03,TREND confluence SELL,SL
10011,AAPL,H1,SELL,2025-02-03T04:00,2025-02-03T12:00,178.87,180.55,180.55,176.18,0.1,-75.0,0.02,TREND confluence SELL,SL
10012,AAPL,H1,SELL,2025-02-03T13:00,2025-02-06T17:00,179.81,176.85,181.66,176.85,0.1,120.0,0.02,TREND confluence SELL,TP
10013,AAPL,H1,SELL,2025-02-06T17:00,2025-02-07T08:00,177.02,178.48,178.48,174.68,0.1,-75.0,0.03,TREND confluence SELL,SL
10014,AAPL,H1,SELL,2025-02-07T10:00,2025-02-11T04:00,177.78,175.08,179.46,175.08,0.1,120.53,0.02,TREND confluence SELL,TP
10015,AAPL,H1,SELL,2025-02-11T19:00,2025-02-11T20:00,173.01,174.51,174.51,170.61,0.1,-75.0,0.03,TREND confluence SELL,SL
10016,AAPL,H1,SELL,2025-02-11T20:00,2025-02-12T10:00,174.25,175.93,175.93,171.56,0.1,-75.01,0.04,TREND confluence SELL,SL
10017,AAPL,H1,BUY,2025-02-12T17:00,2025-02-12T23:00,177.55,175.13,175.13,181.43,0.1,-75.0,0.03,TREND confluence BUY,SL
10018,AAPL,H1,BUY,2025-02-13T12:00,2025-02-13T22:00,177.21,174.96,174.96,180.8,0.1,-75.0,0.02,TREND confluence BUY,SL
