ticket,symbol,tf,side,openTime,closeTime,open,close,sl,tp,lots,profit,spread,reason,exit
10000,BTCUSDT,H1,SELL,2025-01-14T20:00,2025-01-15T08:00,61613.56,58106.04,63805.76,58106.04,0.1,78.21,11.96,TREND confluence SELL,TP
10001,BTCUSDT,H1,SELL,2025-01-15T20:00,2025-01-18T09:00,56600.75,53458.16,58564.87,53458.16,0.1,78.47,10.19,TREND confluence SELL,TP
10002,BTCUSDT,H1,SELL,2025-01-18T09:00,2025-01-20T10:00,53749.84,51676.69,55045.56,51676.69,0.1,78.28,11.47,TREND confluence SELL,TP
10003,BTCUSDT,H1,SELL,2025-01-20T11:00,2025-01-20T23:00,51889.16,49739.19,53232.89,49739.19,0.1,78.23,11.81,TREND confluence SELL,TP
10004,BTCUSDT,H1,SELL,2025-01-21T04:00,2025-01-23T09:00,50378.51,51680.76,51680.76,48294.92,0.1,-51.91,12.73,TREND confluence SELL,SL
10005,BTCUSDT,H1,BUY,2025-01-23T20:00,2025-01-24T03:00,54053.39,52216.55,52216.55,56992.33,0.1,-51.6,10.65,TREND confluence BUY,SL
10006,BTCUSDT,H1,BUY,2025-01-24T09:00,2025-01-24T19:00,53678.09,51833.07,51833.07,56630.12,0.1,-51.54,10.26,TREND confluence BUY,SL
10007,BTCUSDT,H1,SELL,2025-01-25T07:00,2025-01-26T09:00,50781.2,52800.12,52800.12,47550.93,0.1,-51.81,12.1,TREND confluence SELL,SL
10008,BTCUSDT,H1,BUY,2025-01-26T10:00,2025-01-26T16:00,53315.0,51713.11,51713.11,55878.02,0.1,-52.24,14.91,TREND confluence BUY,SL
10009,BTCUSDT,H1,SELL,2025-01-26T20:00,2025-01-27T18:00,51916.02,49802.06,53237.24,49802.06,0.1,77.91,13.94,TREND confluence SELL,TP
10010,BTCUSDT,H1,SELL,2025-01-27T22:00,2025-01-31T10:00,49787.09,47669.14,51110.81,47669.14,0.1,78.44,10.43,TREND confluence SELL,TP
10011,BTCUSDT,H1,SELL,2025-01-31T10:00,2025-01-31T19:00,48105.55,49236.53,49236.53,46295.99,0.1,-51.48,9.85,TREND confluence SELL,SL
10012,BTCUSDT,H1,SELL,2025-01-31T20:00,2025-02-01T07:00,48816.5,49996.32,49996.32,46928.79,0.1,-52.03,13.51,TREND confluence SELL,SL
10013,BTCUSDT,H1,BUY,2025-02-01T17:00,2025-02-01T20:00,50283.57,49102.8,49102.8,52172.81,0.1,-51.54,10.26,TREND confluence BUY,SL
10014,BTCUSDT,H1,SELL,2025-02-02T15:00,2025-02-03T02:00,45517.21,47258.88,47258.88,42730.55,0.1,-51.54,10.27,TREND confluence SELL,SL
10015,BTCUSDT,H1,SELL,2025-02-03T02:00,2025-02-03T11:00,47109.18,49098.51,49098.51,43926.26,0.1,-51.63,10.89,TREND confluence SELL,SL
10016,BTCUSDT,H1,SELL,2025-02-03T12:00,2025-02-06T02:00,48052.18,50226.85,50226.85,44572.71,0.1,-51.93,12.87,TREND confluence SELL,SL
10017,BTCUSDT,H1,BUY,2025-02-06T02:00,2025-02-06T14:00,50007.11,48565.54,48565.54,52313.62,0.1,-51.49,9.91,TREND confluence BUY,SL
10018,BTCUSDT,H1,BUY,2025-02-06T15:00,2025-02-07T18:00,48794.62,47579.99,47579.99,50738.03,0.1,-51.89,12.57,TREND confluence BUY,SL
10019,BTCUSDT,H1,SELL,2025-02-07T18:00,2025-02-08T03:00,47683.04,48918.33,48918.33,45706.57,0.1,-51.9,12.69,TREND confluence SELL,SL
10020,BTCUSDT,H1,SELL,2025-02-08T04:00,2025-02-09T03:00,48377.27,46543.96,49523.09,46543.96,0.1,78.41,10.57,TREND confluence SELL,TP
10021,BTCUSDT,H1,SELL,2025-02-09T03:00,2025-02-11T16:00,46755.07,45007.29,47847.43,45007.29,0.1,78.35,11.03,TREND confluence SELL,TP
10022,BTCUSDT,H1,SELL,2025-02-11T16:00,2025-02-11T22:00,45745.02,43896.99,46900.04,43896.99,0.1,78.3,11.35,TREND confluence SELL,TP
10023,BTCUSDT,H1,SELL,2025-02-12T15:00,2025-02-14T16:00,41483.55,38863.88,43120.85,38863.88,0.1,78.02,13.23,TREND confluence SELL,TP
