ticket,symbol,tf,side,openTime,closeTime,open,close,sl,tp,lots,profit,spread,reason,exit
10000,ETHUSDT,H1,BUY,2025-01-14T18:00,2025-01-15T13:00,3251.9,3470.72,3115.14,3470.72,0.1,79.74,1.74,TREND confluence BUY,TP
10001,ETHUSDT,H1,BUY,2025-01-15T13:00,2025-01-21T07:00,3458.16,3717.55,3296.04,3717.55,0.1,79.66,2.23,TREND confluence BUY,TP
10002,ETHUSDT,H1,BUY,2025-01-21T08:00,2025-01-21T17:00,3676.91,3821.1,3586.79,3821.1,0.1,79.66,2.29,TREND confluence BUY,TP
10003,ETHUSDT,H1,BUY,2025-01-22T04:00,2025-01-23T12:00,3867.96,3756.25,3756.25,4046.69,0.1,-50.25,1.69,TREND confluence BUY,SL
10004,ETHUSDT,H1,SELL,2025-01-23T23:00,2025-01-24T04:00,3599.69,3733.98,3733.98,3384.83,0.1,-50.3,1.99,TREND confluence SELL,SL
10005,ETHUSDT,H1,BUY,2025-01-26T09:00,2025-01-27T03:00,3751.16,3631.07,3631.07,3943.31,0.1,-50.34,2.28,TREND confluence BUY,SL
10006,ETHUSDT,H1,SELL,2025-01-27T03:00,2025-01-27T22:00,3626.25,3707.38,3707.38,3496.43,0.1,-50.31,2.09,TREND confluence SELL,SL
10007,ETHUSDT,H1,BUY,2025-01-28T01:00,2025-01-28T19:00,3730.37,3895.35,3627.26,3895.35,0.1,79.62,2.57,TREND confluence BUY,TP
10008,ETHUSDT,H1,BUY,2025-01-28T21:00,2025-01-30T01:00,3876.12,3771.36,3771.36,4043.73,0.1,-50.25,1.68,TREND confluence BUY,SL
10009,ETHUSDT,H1,BUY,2025-01-30T06:00,2025-01-30T16:00,3826.83,3717.37,3717.37,4001.97,0.1,-50.38,2.54,TREND confluence BUY,SL
10010,ETHUSDT,H1,SELL,2025-01-30T16:00,2025-01-31T05:00,3733.19,3843.26,3843.26,3557.07,0.1,-50.3,2.02,TREND confluence SELL,SL
10011,ETHUSDT,H1,BUY,2025-01-31T16:00,2025-02-01T14:00,3940.39,3839.0,3839.0,4102.62,0.1,-50.25,1.67,TREND confluence BUY,SL
10012,ETHUSDT,H1,SELL,2025-02-01T22:00,2025-02-02T20:00,3804.88,3918.92,3918.92,3622.42,0.1,-50.31,2.05,TREND confluence SELL,SL
10013,ETHUSDT,H1,BUY,2025-02-02T21:00,2025-02-03T19:00,3907.96,4128.85,3769.9,4128.85,0.1,79.65,2.32,TREND confluence BUY,TP
10014,ETHUSDT,H1,BUY,2025-02-03T19:00,2025-02-05T11:00,4052.53,4295.33,3900.78,4295.33,0.1,79.7,1.98,TREND confluence BUY,TP
10015,ETHUSDT,H1,BUY,2025-02-05T11:00,2025-02-06T01:00,4288.21,4142.43,4142.43,4521.45,0.1,-50.29,1.91,TREND confluence BUY,SL
10016,ETHUSDT,H1,SELL,2025-02-07T20:00,2025-02-08T18:00,3993.59,3805.9,4110.9,3805.9,0.1,79.69,2.02,TREND confluence SELL,TP
10017,ETHUSDT,H1,SELL,2025-02-08T18:00,2025-02-09T10:00,3848.84,3968.02,3968.02,3658.15,0.1,-50.3,1.97,TREND confluence SELL,SL
10018,ETHUSDT,H1,SELL,2025-02-09T11:00,2025-02-09T20:00,3948.26,4054.22,4054.22,3778.72,0.1,-50.29,1.95,TREND confluence SELL,SL
10019,ETHUSDT,H1,BUY,2025-02-09T22:00,2025-02-11T08:00,4020.14,4180.32,3920.02,4180.32,0.1,79.68,2.08,TREND confluence BUY,TP
10020,ETHUSDT,H1,BUY,2025-02-11T08:00,2025-02-11T17:00,4145.04,4028.18,4028.18,4332.02,0.1,-50.29,1.93,TREND confluence BUY,SL
10021,ETHUSDT,H1,BUY,2025-02-11T18:00,2025-02-12T11:00,4064.36,4241.67,3953.54,4241.67,0.1,79.61,2.6,TREND confluence BUY,TP
10022,ETHUSDT,H1,BUY,2025-02-12T11:00,2025-02-12T14:00,4253.0,4099.83,4099.83,4498.08,0.1,-50.27,1.79,TREND confluence BUY,SL
10023,ETHUSDT,H1,BUY,2025-02-12T14:00,2025-02-13T17:00,4106.74,4362.47,3946.91,4362.47,0.1,79.75,1.69,TREND confluence BUY,TP
10024,ETHUSDT,H1,BUY,2025-02-13T17:00,2025-02-13T23:00,4294.27,4143.77,4143.77,4535.06,0.1,-50.37,2.44,TREND confluence BUY,SL
