ticket,symbol,tf,side,openTime,closeTime,open,close,sl,tp,lots,profit,spread,reason,exit
10000,EURUSD,H1,SELL,2025-01-16T18:00,2025-01-20T17:00,1.0883,1.09269,1.09269,1.08128,0.1,-75.0,0.00014,TREND confluence SELL,SL
10001,EURUSD,H1,BUY,2025-01-20T17:00,2025-01-22T23:00,1.09178,1.08809,1.08809,1.09769,0.1,-75.0,0.00011,TREND confluence BUY,SL
10002,EURUSD,H1,SELL,2025-01-23T21:00,2025-01-24T05:00,1.07486,1.06634,1.08019,1.06634,0.1,119.89,0.00012,TREND confluence SELL,TP
10003,EURUSD,H1,SELL,2025-01-24T05:00,2025-01-24T22:00,1.06932,1.06058,1.07478,1.06058,0.1,120.05,0.00015,TREND confluence SELL,TP
10004,EURUSD,H1,SELL,2025-01-27T11:00,2025-01-29T18:00,1.05892,1.05238,1.063,1.05238,0.1,120.22,0.00013,TREND confluence SELL,TP
10005,EURUSD,H1,SELL,2025-01-30T01:00,2025-01-30T20:00,1.05271,1.04754,1.05594,1.04754,0.1,120.05,0.00014,TREND confluence SELL,TP
10006,EURUSD,H1,SELL,2025-01-31T13:00,2025-02-03T13:00,1.04132,1.04486,1.04486,1.03565,0.1,-75.0,0.00015,TREND confluence SELL,SL
10007,EURUSD,H1,BUY,2025-02-04T17:00,2025-02-04T20:00,1.05571,1.05078,1.05078,1.06359,0.1,-75.0,0.00011,TREND confluence BUY,SL
10008,EURUSD,H1,BUY,2025-02-04T22:00,2025-02-05T22:00,1.05534,1.0642,1.0498,1.0642,0.1,119.95,0.00011,TREND confluence BUY,TP
10009,EURUSD,H1,BUY,2025-02-06T02:00,2025-02-07T10:00,1.06475,1.06091,1.06091,1.07089,0.1,-75.0,0.0001,TREND confluence BUY,SL
10010,EURUSD,H1,SELL,2025-02-07T18:00,2025-02-10T08:00,1.05926,1.05437,1.06231,1.05437,0.1,120.25,0.00015,TREND confluence SELL,TP
10011,EURUSD,H1,SELL,2025-02-10T12:00,2025-02-10T16:00,1.05429,1.0499,1.05703,1.0499,0.1,120.16,0.00012,TREND confluence SELL,TP
10012,EURUSD,H1,SELL,2025-02-10T20:00,2025-02-11T19:00,1.05034,1.05328,1.05328,1.04563,0.1,-75.0,0.00012,TREND confluence SELL,SL
10013,EURUSD,H1,SELL,2025-02-11T19:00,2025-02-12T07:00,1.05282,1.05673,1.05673,1.04656,0.1,-75.0,0.00014,TREND confluence SELL,SL
10014,EURUSD,H1,BUY,2025-02-12T12:00,2025-02-13T18:00,1.05655,1.05209,1.05209,1.06368,0.1,-75.0,0.00015,TREND confluence BUY,SL
10015,EURUSD,H1,BUY,2025-02-13T22:00,2025-02-14T02:00,1.05581,1.05161,1.05161,1.06253,0.1,-75.0,0.00011,TREND confluence BUY,SL
10016,EURUSD,H1,SELL,2025-02-14T03:00,2025-02-14T18:00,1.05146,1.04348,1.05645,1.04348,0.1,119.94,0.00016,TREND confluence SELL,TP
