ticket,symbol,tf,side,openTime,closeTime,open,close,sl,tp,lots,profit,spread,reason,exit
10000,GBPUSD,H1,BUY,2025-01-16T18:00,2025-01-16T21:00,1.31029,1.30563,1.30563,1.31774,0.1,-75.0,0.00017,TREND confluence BUY,SL
10001,GBPUSD,H1,BUY,2025-01-16T21:00,2025-01-17T21:00,1.3075,1.30247,1.30247,1.31555,0.1,-75.0,0.00016,TREND confluence BUY,SL
10002,GBPUSD,H1,SELL,2025-01-20T22:00,2025-01-21T03:00,1.28669,1.29151,1.29151,1.27898,0.1,-75.0,0.00017,TREND confluence SELL,SL
10003,GBPUSD,H1,SELL,2025-01-21T03:00,2025-01-22T03:00,1.28829,1.2803,1.29328,1.2803,0.1,120.09,0.00016,TREND confluence SELL,TP
10004,GBPUSD,H1,SELL,2025-01-22T04:00,2025-01-22T07:00,1.28214,1.28704,1.28704,1.2743,0.1,-75.0,0.00015,TREND confluence SELL,SL
10005,GBPUSD,H1,SELL,2025-01-22T07:00,2025-01-22T13:00,1.28743,1.27913,1.29262,1.27913,0.1,119.94,0.00019,TREND confluence SELL,TP
10006,GBPUSD,H1,SELL,2025-01-22T13:00,2025-01-22T20:00,1.27973,1.28521,1.28521,1.27096,0.1,-75.0,0.00015,TREND confluence SELL,SL
10007,GBPUSD,H1,SELL,2025-01-22T21:00,2025-01-23T22:00,1.28516,1.27443,1.29187,1.27443,0.1,119.93,0.00022,TREND confluence SELL,TP
10008,GBPUSD,H1,SELL,2025-01-23T22:00,2025-01-24T04:00,1.27299,1.28083,1.28083,1.26044,0.1,-75.0,0.00018,TREND confluence SELL,SL
10009,GBPUSD,H1,SELL,2025-01-24T04:00,2025-01-24T17:00,1.28257,1.27073,1.28997,1.27073,0.1,120.0,0.00016,TREND confluence SELL,TP
10010,GBPUSD,H1,SELL,2025-01-24T17:00,2025-01-24T21:00,1.27126,1.2779,1.2779,1.26063,0.1,-75.0,0.00015,TREND confluence SELL,SL
10011,GBPUSD,H1,SELL,2025-01-24T21:00,2025-01-27T20:00,1.27805,1.28479,1.28479,1.26727,0.1,-75.0,0.00014,TREND confluence SELL,SL
10012,GBPUSD,H1,BUY,2025-01-27T20:00,2025-01-28T19:00,1.28543,1.29259,1.28095,1.29259,0.1,119.87,0.00014,TREND confluence BUY,TP
10013,GBPUSD,H1,BUY,2025-01-28T19:00,2025-01-29T02:00,1.29267,1.28747,1.28747,1.30099,0.1,-75.0,0.00014,TREND confluence BUY,SL
10014,GBPUSD,H1,BUY,2025-01-29T02:00,2025-01-29T17:00,1.28757,1.28222,1.28222,1.29613,0.1,-75.0,0.00016,TREND confluence BUY,SL
10015,GBPUSD,H1,SELL,2025-01-29T19:00,2025-01-30T09:00,1.282,1.27377,1.28714,1.27377,0.1,120.09,0.00015,TREND confluence SELL,TP
10016,GBPUSD,H1,SELL,2025-01-30T11:00,2025-01-30T19:00,1.27458,1.26646,1.27966,1.26646,0.1,119.88,0.00014,TREND confluence SELL,TP
10017,GBPUSD,H1,SELL,2025-01-30T20:00,2025-01-31T03:00,1.26948,1.27548,1.27548,1.25987,0.1,-75.0,0.00019,TREND confluence SELL,SL
10018,GBPUSD,H1,SELL,2025-01-31T03:00,2025-01-31T07:00,1.27596,1.28163,1.28163,1.26688,0.1,-75.0,0.00016,TREND confluence SELL,SL
10019,GBPUSD,H1,SELL,2025-01-31T10:00,2025-02-03T00:00,1.27812,1.28369,1.28369,1.26921,0.1,-75.0,0.00019,TREND confluence SELL,SL
10020,GBPUSD,H1,BUY,2025-02-03T00:00,2025-02-03T05:00,1.28311,1.27797,1.27797,1.29134,0.1,-75.0,0.00015,TREND confluence BUY,SL
10021,GBPUSD,H1,BUY,2025-02-03T06:00,2025-02-03T12:00,1.2811,1.28946,1.27587,1.28946,0.1,119.89,0.00019,TREND confluence BUY,TP
10022,GBPUSD,H1,BUY,2025-02-03T12:00,2025-02-03T17:00,1.28585,1.29591,1.27956,1.29591,0.1,119.95,0.00018,TREND confluence BUY,TP
10023,GBPUSD,H1,BUY,2025-02-04T00:00,2025-02-04T03:00,1.2981,1.30977,1.2908,1.30977,0.1,119.9,0.00015,TREND confluence BUY,TP
10024,GBPUSD,H1,BUY,2025-02-04T14:00,2025-02-05T14:00,1.31416,1.32695,1.30617,1.32695,0.1,120.06,0.00023,TREND confluence BUY,TP
10025,GBPUSD,H1,BUY,2025-02-06T17:00,2025-02-07T06:00,1.33648,1.33173,1.33173,1.34408,0.1,-75.0,0.00017,TREND confluence BUY,SL
10026,GBPUSD,H1,BUY,2025-02-07T06:00,2025-02-07T14:00,1.33188,1.32775,1.32775,1.33848,0.1,-75.0,0.00017,TREND confluence BUY,SL
10027,GBPUSD,H1,BUY,2025-02-07T17:00,2025-02-11T09:00,1.32981,1.32511,1.32511,1.33733,0.1,-75.0,0.00015,TREND confluence BUY,SL
10028,GBPUSD,H1,SELL,2025-02-11T19:00,2025-02-12T12:00,1.31742,1.30831,1.32312,1.30831,0.1,119.87,0.00018,TREND confluence SELL,TP
10029,GBPUSD,H1,SELL,2025-02-12T12:00,2025-02-13T02:00,1.30915,1.31744,1.31744,1.29589,0.1,-75.0,0.0002,TREND confluence SELL,SL
10030,GBPUSD,H1,SELL,2025-02-13T02:00,2025-02-13T11:00,1.31684,1.32357,1.32357,1.30607,0.1,-75.0,0.00015,TREND confluence SELL,SL
10031,GBPUSD,H1,SELL,2025-02-13T16:00,2025-02-14T15:00,1.31728,1.3073,1.32351,1.3073,0.1,120.14,0.00014,TREND confluence SELL,TP
