ticket,symbol,tf,side,openTime,closeTime,open,close,sl,tp,lots,profit,spread,reason,exit
10000,NAS100,H4,BUY,2025-02-24T00:00,2025-02-27T20:00,18441.3,18299.4,18299.4,18668.3,0.1,-75.3,2.0,TREND confluence BUY,SL
10001,NAS100,H4,SELL,2025-02-27T20:00,2025-02-28T08:00,18312.7,18450.2,18450.2,18092.7,0.1,-75.3,2.0,TREND confluence SELL,SL
10002,NAS100,H4,BUY,2025-02-28T16:00,2025-03-03T12:00,18430.4,18280.3,18280.3,18670.6,0.1,-75.45,3.0,TREND confluence BUY,SL
10003,NAS100,H4,SELL,2025-03-03T12:00,2025-03-12T12:00,18299.1,18454.0,18454.0,18051.2,0.1,-75.34,2.3,TREND confluence SELL,SL
10004,NAS100,H4,BUY,2025-03-12T12:00,2025-03-13T04:00,18423.8,18599.8,18313.8,18599.8,0.1,119.73,1.8,TREND confluence BUY,TP
10005,NAS100,H4,BUY,2025-03-13T12:00,2025-03-14T04:00,18578.6,18444.7,18444.7,18792.9,0.1,-75.24,1.6,TREND confluence BUY,SL
10006,NAS100,H4,BUY,2025-03-14T04:00,2025-03-17T08:00,18451.8,18276.5,18276.5,18732.3,0.1,-75.34,2.3,TREND confluence BUY,SL
10007,NAS100,H4,SELL,2025-03-17T20:00,2025-04-07T04:00,18164.4,18370.0,18370.0,17835.4,0.1,-75.3,2.0,TREND confluence SELL,SL
10008,NAS100,H4,BUY,2025-04-07T04:00,2025-04-14T08:00,18318.9,18153.2,18153.2,18584.0,0.1,-75.25,1.7,TREND confluence BUY,SL
10009,NAS100,H4,SELL,2025-04-15T04:00,2025-04-18T00:00,18157.1,17926.9,18301.0,17926.9,0.1,119.68,2.0,TREND confluence SELL,TP
10010,NAS100,H4,SELL,2025-04-18T04:00,2025-04-23T08:00,17960.2,18108.1,18108.1,17723.5,0.1,-75.34,2.3,TREND confluence SELL,SL
10011,NAS100,H4,SELL,2025-04-23T08:00,2025-04-24T16:00,18095.7,18270.8,18270.8,17815.6,0.1,-75.24,1.6,TREND confluence SELL,SL
10012,NAS100,H4,BUY,2025-04-28T00:00,2025-04-29T04:00,18299.0,18616.2,18100.8,18616.2,0.1,119.75,1.9,TREND confluence BUY,TP
10013,NAS100,H4,BUY,2025-04-29T08:00,2025-05-06T16:00,18443.3,18788.8,18227.4,18788.8,0.1,119.75,1.8,TREND confluence BUY,TP
10014,NAS100,H4,BUY,2025-05-09T00:00,2025-05-16T20:00,18953.9,19175.0,18815.7,19175.0,0.1,119.7,1.9,TREND confluence BUY,TP
10015,NAS100,H4,BUY,2025-05-19T04:00,2025-05-20T16:00,19116.7,18983.8,18983.8,19329.3,0.1,-75.27,1.8,TREND confluence BUY,SL
10016,NAS100,H4,BUY,2025-05-20T16:00,2025-05-23T04:00,18994.5,18842.8,18842.8,19237.3,0.1,-75.31,2.1,TREND confluence BUY,SL
10017,NAS100,H4,SELL,2025-05-28T00:00,2025-05-30T04:00,18691.8,18451.0,18842.3,18451.0,0.1,119.7,2.0,TREND confluence SELL,TP
10018,NAS100,H4,SELL,2025-05-30T08:00,2025-06-03T12:00,18524.2,18670.5,18670.5,18290.1,0.1,-75.25,1.7,TREND confluence SELL,SL
10019,NAS100,H4,SELL,2025-06-03T16:00,2025-06-11T12:00,18531.1,18203.9,18735.6,18203.9,0.1,119.64,2.4,TREND confluence SELL,TP
