ticket,symbol,tf,side,openTime,closeTime,open,close,sl,tp,lots,profit,spread,reason,exit
10000,SOLUSDT,H4,BUY,2025-02-10T00:00,2025-02-13T12:00,168.551,159.865,159.865,182.449,0.1,-50.01,0.077,TREND confluence BUY,SL
10001,SOLUSDT,H4,SELL,2025-02-13T16:00,2025-02-14T08:00,159.871,168.631,168.631,145.855,0.1,-50.01,0.076,TREND confluence SELL,SL
10002,SOLUSDT,H4,BUY,2025-02-14T16:00,2025-02-20T04:00,167.696,159.487,159.487,180.83,0.1,-50.01,0.086,TREND confluence BUY,SL
10003,SOLUSDT,H4,SELL,2025-02-20T04:00,2025-02-28T04:00,160.688,149.731,167.536,149.731,0.1,79.99,0.079,TREND confluence SELL,TP
10004,SOLUSDT,H4,SELL,2025-02-28T08:00,2025-03-03T16:00,150.813,142.754,155.85,142.754,0.1,79.99,0.078,TREND confluence SELL,TP
10005,SOLUSDT,H4,SELL,2025-03-04T16:00,2025-03-05T16:00,142.838,148.937,148.937,133.08,0.1,-50.01,0.093,TREND confluence SELL,SL
10006,SOLUSDT,H4,SELL,2025-03-05T16:00,2025-03-11T08:00,147.508,153.472,153.472,137.965,0.1,-50.01,0.094,TREND confluence SELL,SL
10007,SOLUSDT,H4,BUY,2025-03-12T12:00,2025-03-14T16:00,155.243,150.022,150.022,163.596,0.1,-50.01,0.086,TREND confluence BUY,SL
10008,SOLUSDT,H4,BUY,2025-03-15T00:00,2025-03-18T16:00,155.112,165.955,148.335,165.955,0.1,79.99,0.085,TREND confluence BUY,TP
10009,SOLUSDT,H4,BUY,2025-03-18T16:00,2025-03-20T04:00,160.269,151.741,151.741,173.913,0.1,-50.01,0.094,TREND confluence BUY,SL
10010,SOLUSDT,H4,BUY,2025-03-20T12:00,2025-03-30T00:00,156.196,146.575,146.575,171.589,0.1,-50.01,0.079,TREND confluence BUY,SL
10011,SOLUSDT,H4,SELL,2025-03-30T08:00,2025-04-14T16:00,148.219,137.6,154.856,137.6,0.1,79.98,0.107,TREND confluence SELL,TP
10012,SOLUSDT,H4,SELL,2025-04-14T16:00,2025-04-19T12:00,138.578,143.961,143.961,129.965,0.1,-50.01,0.099,TREND confluence SELL,SL
10013,SOLUSDT,H4,BUY,2025-04-24T00:00,2025-04-27T00:00,163.65,155.725,155.725,176.33,0.1,-50.01,0.072,TREND confluence BUY,SL
10014,SOLUSDT,H4,BUY,2025-04-27T00:00,2025-04-30T16:00,160.295,150.921,150.921,175.293,0.1,-50.01,0.091,TREND confluence BUY,SL
10015,SOLUSDT,H4,SELL,2025-05-01T08:00,2025-05-02T20:00,149.89,158.594,158.594,135.964,0.1,-50.01,0.081,TREND confluence SELL,SL
10016,SOLUSDT,H4,BUY,2025-05-04T12:00,2025-05-06T16:00,161.369,153.309,153.309,174.265,0.1,-50.01,0.074,TREND confluence BUY,SL
10017,SOLUSDT,H4,SELL,2025-05-06T16:00,2025-05-21T00:00,152.494,159.674,159.674,141.006,0.1,-50.01,0.082,TREND confluence SELL,SL
10018,SOLUSDT,H4,BUY,2025-05-21T00:00,2025-05-26T04:00,160.148,168.528,154.91,168.528,0.1,79.98,0.09,TREND confluence BUY,TP
10019,SOLUSDT,H4,BUY,2025-05-26T12:00,2025-05-28T04:00,169.344,163.292,163.292,179.027,0.1,-50.02,0.105,TREND confluence BUY,SL
10020,SOLUSDT,H4,SELL,2025-05-31T12:00,2025-06-05T20:00,157.123,148.288,162.645,148.288,0.1,79.98,0.13,TREND confluence SELL,TP
10021,SOLUSDT,H4,SELL,2025-06-05T20:00,2025-06-06T04:00,148.313,156.114,156.114,135.831,0.1,-50.01,0.077,TREND confluence SELL,SL
10022,SOLUSDT,H4,BUY,2025-06-08T08:00,2025-06-10T08:00,169.44,159.902,159.902,184.7,0.1,-50.01,0.087,TREND confluence BUY,SL
