ticket,symbol,tf,side,openTime,closeTime,open,close,sl,tp,lots,profit,spread,reason,exit
10000,US30,H1,BUY,2025-01-17T03:00,2025-01-17T10:00,40873.1,40646.8,40646.8,41235.1,0.1,-75.3,2.0,TREND confluence BUY,SL
10001,US30,H1,BUY,2025-01-17T10:00,2025-01-17T18:00,40665.4,41028.8,40438.3,41028.8,0.1,119.64,2.5,TREND confluence BUY,TP
10002,US30,H1,BUY,2025-01-17T18:00,2025-01-21T02:00,41014.9,41361.9,40798.0,41361.9,0.1,119.57,2.8,TREND confluence BUY,TP
10003,US30,H1,BUY,2025-01-21T02:00,2025-01-23T02:00,41332.4,41095.2,41095.2,41712.0,0.1,-75.31,2.1,TREND confluence BUY,SL
10004,US30,H1,SELL,2025-01-23T03:00,2025-01-24T08:00,40908.5,40300.6,41288.4,40300.6,0.1,119.71,2.0,TREND confluence SELL,TP
10005,US30,H1,SELL,2025-01-24T08:00,2025-01-27T16:00,40364.5,39754.5,40745.7,39754.5,0.1,119.72,2.0,TREND confluence SELL,TP
10006,US30,H1,SELL,2025-01-27T23:00,2025-01-29T04:00,39588.2,39138.3,39869.4,39138.3,0.1,119.62,2.5,TREND confluence SELL,TP
10007,US30,H1,SELL,2025-01-29T05:00,2025-01-29T13:00,39185.4,39404.8,39404.8,38834.4,0.1,-75.31,2.1,TREND confluence SELL,SL
10008,US30,H1,SELL,2025-01-29T13:00,2025-01-30T00:00,39410.9,39626.9,39626.9,39065.4,0.1,-75.3,2.0,TREND confluence SELL,SL
10009,US30,H1,SELL,2025-01-30T03:00,2025-01-30T20:00,39439.0,39044.3,39685.7,39044.3,0.1,119.69,2.0,TREND confluence SELL,TP
10010,US30,H1,SELL,2025-01-30T20:00,2025-01-31T11:00,39087.1,38731.7,39309.3,38731.7,0.1,119.58,2.5,TREND confluence SELL,TP
10011,US30,H1,SELL,2025-01-31T11:00,2025-02-03T02:00,38793.3,38428.1,39021.5,38428.1,0.1,119.73,2.0,TREND confluence SELL,TP
10012,US30,H1,SELL,2025-02-03T06:00,2025-02-04T02:00,38458.2,38735.5,38735.5,38014.5,0.1,-75.36,2.4,TREND confluence SELL,SL
10013,US30,H1,SELL,2025-02-04T04:00,2025-02-04T22:00,38351.2,38713.9,38713.9,37770.8,0.1,-75.36,2.4,TREND confluence SELL,SL
10014,US30,H1,SELL,2025-02-06T23:00,2025-02-07T04:00,38588.2,38823.6,38823.6,38211.6,0.1,-75.31,2.1,TREND confluence SELL,SL
10015,US30,H1,SELL,2025-02-07T04:00,2025-02-10T00:00,38803.9,38442.0,39030.1,38442.0,0.1,119.62,2.5,TREND confluence SELL,TP
10016,US30,H1,SELL,2025-02-10T00:00,2025-02-10T23:00,38446.7,38120.8,38650.4,38120.8,0.1,119.53,3.1,TREND confluence SELL,TP
10017,US30,H1,SELL,2025-02-10T23:00,2025-02-11T12:00,38238.2,38467.4,38467.4,37871.5,0.1,-75.28,1.9,TREND confluence SELL,SL
10018,US30,H1,SELL,2025-02-11T12:00,2025-02-11T22:00,38430.8,38673.5,38673.5,38042.5,0.1,-75.34,2.3,TREND confluence SELL,SL
10019,US30,H1,BUY,2025-02-12T00:00,2025-02-12T09:00,38867.0,38531.9,38531.9,39403.2,0.1,-75.41,2.7,TREND confluence BUY,SL
10020,US30,H1,BUY,2025-02-12T20:00,2025-02-13T15:00,38721.5,38364.8,38364.8,39292.3,0.1,-75.44,2.9,TREND confluence BUY,SL
10021,US30,H1,SELL,2025-02-13T15:00,2025-02-14T12:00,38394.5,37858.3,38729.6,37858.3,0.1,119.57,2.9,TREND confluence SELL,TP
