ticket,symbol,tf,side,openTime,closeTime,open,close,sl,tp,lots,profit,spread,reason,exit
10000,USDJPY,H1,BUY,2025-01-17T04:00,2025-01-17T16:00,154.288,155.103,153.779,155.103,0.1,120.09,0.014,TREND confluence BUY,TP
10001,USDJPY,H1,BUY,2025-01-17T16:00,2025-01-21T13:00,155.045,155.742,154.609,155.742,0.1,119.89,0.015,TREND confluence BUY,TP
10002,USDJPY,H1,BUY,2025-01-21T13:00,2025-01-21T23:00,155.762,156.549,155.27,156.549,0.1,119.97,0.017,TREND confluence BUY,TP
10003,USDJPY,H1,BUY,2025-01-21T23:00,2025-01-22T06:00,156.281,155.774,155.774,157.093,0.1,-75.0,0.014,TREND confluence BUY,SL
10004,USDJPY,H1,BUY,2025-01-22T06:00,2025-01-23T04:00,156.033,155.543,155.543,156.818,0.1,-75.0,0.013,TREND confluence BUY,SL
10005,USDJPY,H1,BUY,2025-01-23T05:00,2025-01-23T06:00,155.791,155.247,155.247,156.661,0.1,-75.0,0.018,TREND confluence BUY,SL
10006,USDJPY,H1,BUY,2025-01-23T07:00,2025-01-23T12:00,155.612,155.025,155.025,156.551,0.1,-75.0,0.015,TREND confluence BUY,SL
10007,USDJPY,H1,SELL,2025-01-23T20:00,2025-01-28T02:00,154.838,155.588,155.588,153.637,0.1,-75.0,0.015,TREND confluence SELL,SL
10008,USDJPY,H1,BUY,2025-01-28T05:00,2025-01-29T00:00,155.689,156.322,155.293,156.322,0.1,119.88,0.02,TREND confluence BUY,TP
10009,USDJPY,H1,BUY,2025-01-29T03:00,2025-01-30T07:00,156.066,155.606,155.606,156.802,0.1,-75.0,0.013,TREND confluence BUY,SL
10010,USDJPY,H1,BUY,2025-01-30T10:00,2025-01-30T23:00,155.786,155.335,155.335,156.508,0.1,-75.0,0.014,TREND confluence BUY,SL
10011,USDJPY,H1,SELL,2025-01-30T23:00,2025-01-31T07:00,155.431,155.881,155.881,154.711,0.1,-75.0,0.014,TREND confluence SELL,SL
10012,USDJPY,H1,BUY,2025-01-31T11:00,2025-02-03T07:00,155.968,155.488,155.488,156.737,0.1,-75.0,0.017,TREND confluence BUY,SL
10013,USDJPY,H1,BUY,2025-02-03T08:00,2025-02-03T12:00,155.898,155.319,155.319,156.825,0.1,-75.0,0.013,TREND confluence BUY,SL
10014,USDJPY,H1,SELL,2025-02-03T12:00,2025-02-04T09:00,155.485,154.575,156.054,154.575,0.1,119.95,0.015,TREND confluence SELL,TP
10015,USDJPY,H1,SELL,2025-02-04T10:00,2025-02-05T10:00,154.653,153.658,155.275,153.658,0.1,119.97,0.018,TREND confluence SELL,TP
10016,USDJPY,H1,SELL,2025-02-05T10:00,2025-02-06T08:00,153.594,154.184,154.184,152.65,0.1,-75.0,0.015,TREND confluence SELL,SL
10017,USDJPY,H1,SELL,2025-02-06T17:00,2025-02-07T13:00,154.075,153.463,154.458,153.463,0.1,119.84,0.014,TREND confluence SELL,TP
10018,USDJPY,H1,SELL,2025-02-07T13:00,2025-02-11T12:00,153.516,152.866,153.922,152.866,0.1,120.07,0.016,TREND confluence SELL,TP
10019,USDJPY,H1,SELL,2025-02-11T19:00,2025-02-12T10:00,152.313,152.799,152.799,151.535,0.1,-75.0,0.017,TREND confluence SELL,SL
10020,USDJPY,H1,SELL,2025-02-12T10:00,2025-02-12T18:00,152.784,153.473,153.473,151.682,0.1,-75.0,0.02,TREND confluence SELL,SL
10021,USDJPY,H1,SELL,2025-02-12T20:00,2025-02-13T07:00,153.088,152.097,153.707,152.097,0.1,120.07,0.015,TREND confluence SELL,TP
10022,USDJPY,H1,SELL,2025-02-13T07:00,2025-02-14T14:00,152.181,152.847,152.847,151.116,0.1,-75.0,0.014,TREND confluence SELL,SL
