ticket,symbol,tf,side,openTime,closeTime,open,close,sl,tp,lots,profit,spread,reason,exit
10000,USOIL,H1,BUY,2025-01-16T21:00,2025-01-20T22:00,82.451,81.417,81.417,84.105,0.1,-75.01,0.035,TREND confluence BUY,SL
10001,USOIL,H1,SELL,2025-01-21T05:00,2025-01-22T08:00,81.273,82.009,82.009,80.095,0.1,-75.01,0.042,TREND confluence SELL,SL
10002,USOIL,H1,SELL,2025-01-22T13:00,2025-01-22T16:00,81.406,82.189,82.189,80.153,0.1,-75.01,0.038,TREND confluence SELL,SL
10003,USOIL,H1,BUY,2025-01-22T18:00,2025-01-22T21:00,81.99,83.588,80.991,83.588,0.1,119.96,0.049,TREND confluence BUY,TP
10004,USOIL,H1,BUY,2025-01-23T01:00,2025-01-23T09:00,83.485,85.643,82.136,85.643,0.1,119.97,0.037,TREND confluence BUY,TP
10005,USOIL,H1,BUY,2025-01-23T13:00,2025-01-23T23:00,84.905,87.406,83.342,87.406,0.1,120.0,0.04,TREND confluence BUY,TP
10006,USOIL,H1,BUY,2025-01-24T00:00,2025-01-24T07:00,86.849,85.348,85.348,89.251,0.1,-75.01,0.041,TREND confluence BUY,SL
10007,USOIL,H1,BUY,2025-01-24T07:00,2025-01-24T17:00,85.447,84.075,84.075,87.643,0.1,-75.01,0.045,TREND confluence BUY,SL
10008,USOIL,H1,BUY,2025-01-24T18:00,2025-01-30T10:00,84.263,86.568,82.822,86.568,0.1,119.96,0.045,TREND confluence BUY,TP
10009,USOIL,H1,BUY,2025-01-30T10:00,2025-01-30T16:00,86.495,88.073,85.509,88.073,0.1,120.03,0.035,TREND confluence BUY,TP
10010,USOIL,H1,BUY,2025-01-30T20:00,2025-01-30T23:00,87.562,86.618,86.618,89.073,0.1,-75.01,0.046,TREND confluence BUY,SL
10011,USOIL,H1,BUY,2025-01-30T23:00,2025-02-03T23:00,86.577,88.141,85.599,88.141,0.1,119.93,0.047,TREND confluence BUY,TP
10012,USOIL,H1,BUY,2025-02-03T23:00,2025-02-05T01:00,87.878,86.278,86.278,90.438,0.1,-75.01,0.042,TREND confluence BUY,SL
10013,USOIL,H1,SELL,2025-02-05T06:00,2025-02-05T22:00,86.197,87.201,87.201,84.59,0.1,-75.01,0.041,TREND confluence SELL,SL
10014,USOIL,H1,BUY,2025-02-06T05:00,2025-02-10T02:00,87.953,89.622,86.91,89.622,0.1,120.01,0.05,TREND confluence BUY,TP
10015,USOIL,H1,BUY,2025-02-10T02:00,2025-02-10T11:00,89.339,90.625,88.535,90.625,0.1,119.96,0.048,TREND confluence BUY,TP
10016,USOIL,H1,BUY,2025-02-10T13:00,2025-02-11T16:00,90.157,89.22,89.22,91.657,0.1,-75.01,0.04,TREND confluence BUY,SL
10017,USOIL,H1,BUY,2025-02-11T16:00,2025-02-12T03:00,90.071,88.953,88.953,91.86,0.1,-75.01,0.055,TREND confluence BUY,SL
10018,USOIL,H1,SELL,2025-02-12T11:00,2025-02-12T23:00,88.076,85.722,89.547,85.722,0.1,120.01,0.038,TREND confluence SELL,TP
10019,USOIL,H1,SELL,2025-02-14T00:00,2025-02-14T06:00,82.494,83.892,83.892,80.257,0.1,-75.01,0.037,TREND confluence SELL,SL
