ticket,symbol,tf,side,openTime,closeTime,open,close,sl,tp,lots,profit,spread,reason,exit
10000,XAUUSD,H1,BUY,2025-01-16T18:00,2025-01-17T06:00,2375.93,2404.51,2358.06,2404.51,0.1,119.89,0.38,TREND confluence BUY,TP
10001,XAUUSD,H1,BUY,2025-01-17T13:00,2025-01-20T00:00,2410.69,2438.48,2393.32,2438.48,0.1,119.95,0.29,TREND confluence BUY,TP
10002,XAUUSD,H1,BUY,2025-01-20T01:00,2025-01-21T13:00,2431.85,2411.08,2411.08,2465.08,0.1,-75.04,0.27,TREND confluence BUY,SL
10003,XAUUSD,H1,BUY,2025-01-21T14:00,2025-01-22T11:00,2418.39,2447.19,2400.39,2447.19,0.1,119.96,0.3,TREND confluence BUY,TP
10004,XAUUSD,H1,BUY,2025-01-22T13:00,2025-01-22T20:00,2448.57,2431.1,2431.1,2476.52,0.1,-75.05,0.35,TREND confluence BUY,SL
10005,XAUUSD,H1,BUY,2025-01-22T20:00,2025-01-22T22:00,2431.48,2412.3,2412.3,2462.17,0.1,-75.07,0.44,TREND confluence BUY,SL
10006,XAUUSD,H1,BUY,2025-01-22T23:00,2025-01-23T09:00,2429.21,2465.2,2406.72,2465.2,0.1,119.97,0.31,TREND confluence BUY,TP
10007,XAUUSD,H1,BUY,2025-01-23T11:00,2025-01-24T05:00,2463.41,2438.34,2438.34,2503.52,0.1,-75.05,0.36,TREND confluence BUY,SL
10008,XAUUSD,H1,BUY,2025-01-24T05:00,2025-01-24T21:00,2438.38,2479.7,2412.56,2479.7,0.1,119.97,0.37,TREND confluence BUY,TP
10009,XAUUSD,H1,BUY,2025-01-24T21:00,2025-01-28T06:00,2474.99,2519.97,2446.88,2519.97,0.1,119.96,0.33,TREND confluence BUY,TP
10010,XAUUSD,H1,BUY,2025-01-28T09:00,2025-01-29T10:00,2517.82,2498.07,2498.07,2549.42,0.1,-75.06,0.42,TREND confluence BUY,SL
10011,XAUUSD,H1,BUY,2025-01-30T06:00,2025-01-30T14:00,2519.23,2548.71,2500.8,2548.71,0.1,119.93,0.28,TREND confluence BUY,TP
10012,XAUUSD,H1,BUY,2025-01-30T17:00,2025-01-31T02:00,2540.6,2520.33,2520.33,2573.03,0.1,-75.04,0.27,TREND confluence BUY,SL
10013,XAUUSD,H1,BUY,2025-01-31T06:00,2025-01-31T13:00,2521.08,2503.16,2503.16,2549.76,0.1,-75.06,0.41,TREND confluence BUY,SL
10014,XAUUSD,H1,BUY,2025-02-03T16:00,2025-02-04T05:00,2545.58,2521.87,2521.87,2583.52,0.1,-75.04,0.26,TREND confluence BUY,SL
10015,XAUUSD,H1,BUY,2025-02-04T05:00,2025-02-05T20:00,2528.71,2501.24,2501.24,2572.66,0.1,-75.04,0.26,TREND confluence BUY,SL
10016,XAUUSD,H1,SELL,2025-02-05T20:00,2025-02-06T14:00,2505.03,2526.64,2526.64,2470.45,0.1,-75.04,0.27,TREND confluence SELL,SL
10017,XAUUSD,H1,BUY,2025-02-06T21:00,2025-02-07T03:00,2530.55,2513.16,2513.16,2558.37,0.1,-75.04,0.26,TREND confluence BUY,SL
10018,XAUUSD,H1,SELL,2025-02-07T03:00,2025-02-07T12:00,2506.83,2525.59,2525.59,2476.81,0.1,-75.06,0.43,TREND confluence SELL,SL
10019,XAUUSD,H1,BUY,2025-02-07T17:00,2025-02-11T18:00,2525.52,2555.13,2507.01,2555.13,0.1,119.92,0.35,TREND confluence BUY,TP
10020,XAUUSD,H1,BUY,2025-02-11T18:00,2025-02-12T02:00,2551.36,2529.85,2529.85,2585.78,0.1,-75.06,0.37,TREND confluence BUY,SL
10021,XAUUSD,H1,BUY,2025-02-12T02:00,2025-02-12T09:00,2537.88,2513.78,2513.78,2576.44,0.1,-75.04,0.29,TREND confluence BUY,SL
10022,XAUUSD,H1,SELL,2025-02-12T09:00,2025-02-13T20:00,2513.06,2538.27,2538.27,2472.73,0.1,-75.05,0.34,TREND confluence SELL,SL
